meal_name,ingredients,calories_per_serving,carbs,proteins,fats,diet_type,meal_time,serving_size,cost_per_serving_in_inr,region,meal_time_categories
Palak Paneer,"Spinach, Paneer, Onion, Tomato, Spices, Cream",320,14,24,10,Vegetarian,lunch/dinner,1 bowl,100,North Indian,"['lunch', 'dinner']"
Mutton Rogan Josh,"Mutton, Yogurt, Ginger, Garlic, Kashmiri Chili, Spices",480,28,38,8,Non-Vegetarian,dinner,1 bowl,180,North Indian,['dinner']
Paneer Butter Masala,"Paneer, Tomato, Cream, Spices, Butter",400,17,33,12,Vegetarian,lunch/dinner,1 bowl,110,North Indian,"['lunch', 'dinner']"
Masoor Dal,"Red Lentils, Tomato, Onion, Garlic, Spices, Ghee",200,9,6,28,Vegetarian,lunch/dinner,1 bowl,20,North Indian,"['lunch', 'dinner']"
Chicken Biryani,"Basmati Rice, Chicken, Yogurt, Ginger, Garlic, Spices",500,24,22,45,Non-Vegetarian,dinner,1 plate,140,North Indian,['dinner']
Vegetable Biryani,"Basmati Rice, Mixed Vegetables, Yogurt, Ginger, Garlic, Spices",420,9,15,55,Vegetarian,dinner,1 plate,100,North Indian,['dinner']
Besan Chilla,"Besan, Onion, Tomato, Spices, Coriander",180,7,5,20,Vegetarian,breakfast/snacks,2 chillas,15,North Indian,"['breakfast', 'snacks']"
Moong Dal Chilla,"Moong Dal, Onion, Tomato, Spices, Coriander",170,9,4,18,Vegetarian,breakfast/snacks,2 chillas,18,North Indian,"['breakfast', 'snacks']"
Methi Thepla,"Wheat Flour, Fenugreek Leaves, Spices, Yogurt",160,4,8,20,Vegetarian,breakfast,2 theplas,15,North Indian,['breakfast']
Gajar Halwa,"Carrots, Milk, Sugar, Ghee, Cashews, Raisins",300,5,18,30,Vegetarian,dessert,1 bowl,40,North Indian,['dessert']
Haldi Doodh,"Milk, Turmeric, Ginger, Honey, Spices",180,6,8,12,Vegetarian,beverage,1 cup,18,North Indian,['snacks']
Dhokla,"Besan, Semolina, Yogurt, Ginger, Green Chili",150,5,4,20,Vegetarian,breakfast/snacks,4 pieces,10,North Indian,"['breakfast', 'snacks']"
Machher Jhol,"Fish, Potato, Tomato, Spices",220,10,20,10,Non-Vegetarian,lunch/dinner,1 bowl,60,North Indian,"['lunch', 'dinner']"
Pork jarpaa jurpie,"Pork, Potatoes, Vegetables",300,15,25,15,Non-Vegetarian,lunch/dinner,1 plate,80,North Indian,"['lunch', 'dinner']"
Chak-Hao Kheer,"Black Rice, Milk, Sugar, Cardamom",250,30,5,10,Vegetarian,dessert,1 bowl,50,North Indian,['dessert']
Achari baingan,"Eggplant, Pickling Spices, Oil",160,12,3,10,Vegetarian,lunch/dinner,1 bowl,25,North Indian,"['lunch', 'dinner']"
Aloo gobi,"Potato, Cauliflower, Spices, Onion, Tomato",150,10,3,8,Vegetarian,lunch/dinner,1 bowl,20,North Indian,"['lunch', 'dinner']"
Aloo tikki,"Potato, Spices, Breadcrumbs",120,15,2,5,Vegetarian,snacks,2 tikkis,15,North Indian,['snacks']
Aloo tuk,"Potato, Spices, Oil",180,20,2,10,Vegetarian,snacks,1 plate,30,North Indian,['snacks']
Aloo matar,"Potato, Peas, Spices, Onion, Tomato",140,10,3,7,Vegetarian,lunch/dinner,1 bowl,20,North Indian,"['lunch', 'dinner']"
Aloo kulcha,"Potato, Wheat Flour, Spices, Butter",250,30,5,10,Vegetarian,lunch/dinner,1 kulcha,30,North Indian,"['lunch', 'dinner']"
Aloo methi,"Potato, Fenugreek Leaves, Spices",130,8,3,6,Vegetarian,lunch/dinner,1 bowl,20,North Indian,"['lunch', 'dinner']"
Aloo shimla mirch,"Potato, Capsicum, Spices, Onion, Tomato",140,10,3,7,Vegetarian,lunch/dinner,1 bowl,20,North Indian,"['lunch', 'dinner']"
Amriti with rabdi,"Lentil Flour, Sugar Syrup, Rabdi",350,40,5,20,Vegetarian,dessert,1 plate,50,North Indian,['dessert']
Talit Macchi (Indian fish fry),"Fish, Spices, Semolina",200,5,20,10,Non-Vegetarian,snacks,2 pieces,70,North Indian,['snacks']
Baati,"Wheat Flour, Ghee",200,30,5,5,Vegetarian,lunch/dinner,1 baati,20,North Indian,"['lunch', 'dinner']"
Bhindi masala,"Okra, Spices, Onion, Tomato",140,10,3,7,Vegetarian,lunch/dinner,1 bowl,22,North Indian,"['lunch', 'dinner']"
Butter chicken,"Chicken, Butter, Cream, Tomato, Spices",350,15,25,20,Non-Vegetarian,dinner,1 bowl,80,North Indian,['dinner']
Chaat,"Potato, Chickpeas, Yogurt, Spices",200,25,5,8,Vegetarian,snacks,1 plate,30,North Indian,['snacks']
Chana masala,"Chickpeas, Spices, Onion, Tomato",220,30,10,5,Vegetarian,breakfast/lunch/dinner,1 bowl,30,North Indian,"['breakfast', 'lunch', 'dinner']"
Chicken razala,"Chicken, Yogurt, Poppy Seeds, Cashew Nuts",380,15,30,20,Non-Vegetarian,lunch/dinner,1 bowl,90,North Indian,"['lunch', 'dinner']"
Chicken Tikka masala,"Chicken Tikka, Tomato Sauce, Cream, Spices",350,15,25,20,Non-Vegetarian,lunch/dinner,1 bowl,100,North Indian,"['lunch', 'dinner']"
Chole bhature,"Chickpeas, Bhatura, Spices",400,40,15,20,Vegetarian,lunch/dinner,1 plate,50,North Indian,"['lunch', 'dinner']"
Daal puri,"Lentils, Wheat Flour, Spices",200,25,5,8,Vegetarian,lunch/dinner,2 puris,30,North Indian,"['lunch', 'dinner']"
Dal makhani (kali dal),"Black Lentils, Cream, Butter, Spices",350,25,15,20,Vegetarian,lunch/dinner,1 bowl,40,North Indian,"['lunch', 'dinner']"
Dal fara,"Lentils, Rice Flour, Spices",150,20,5,3,Vegetarian,lunch/dinner,2 pieces,25,North Indian,"['lunch', 'dinner']"
Dal,"Lentils, Spices",150,20,10,3,Vegetarian,lunch/dinner,1 bowl,20,North Indian,"['lunch', 'dinner']"
Dal fry with tadka,"Lentils, Spices, Ghee",200,25,10,5,Vegetarian,lunch/dinner,1 bowl,25,North Indian,"['lunch', 'dinner']"
Dum aloo,"Potato, Spices, Yogurt",250,30,5,10,Vegetarian,lunch/dinner,1 bowl,40,North Indian,"['lunch', 'dinner']"
Poha,"Flattened Rice, Spices, Onion",200,30,5,5,Vegetarian,breakfast,1 plate,25,North Indian,['breakfast']
Phirni,"Rice, Milk, Sugar, Nuts",250,30,5,10,Vegetarian,dessert,1 bowl,40,North Indian,['dessert']
Aloo Phalliyaan,"Potatoes, Green Beans, Spices",150,15,3,8,Vegetarian,dinner,1 bowl,25,North Indian,['dinner']
Gajar Pak,"Carrots, Milk, Sugar, Ghee",300,35,5,15,Vegetarian,dessert,1 bowl,40,North Indian,['dessert']
Gatte ki Sabzi,"Gram Flour, Yogurt, Spices",220,20,8,12,Vegetarian,lunch/dinner,1 bowl,35,North Indian,"['lunch', 'dinner']"
Gajar matar aloo,"Carrots, Peas, Potato, Spices",140,10,3,7,Vegetarian,lunch/dinner,1 bowl,20,North Indian,"['lunch', 'dinner']"
Gobhi matar,"Cauliflower, Peas, Spices",130,10,3,6,Vegetarian,lunch/dinner,1 bowl,20,North Indian,"['lunch', 'dinner']"
Imarti,"Lentil Flour, Sugar Syrup",200,25,2,10,Vegetarian,dessert,1 piece,30,North Indian,['dessert']
Hari mutter ka nimona,"Green Peas, Spices",150,15,5,5,Vegetarian,lunch/dinner,1 bowl,25,North Indian,"['lunch', 'dinner']"
Jalebi,"Refined Flour, Sugar Syrup",150,20,2,8,Vegetarian,dessert,1 piece,20,North Indian,['dessert']
Jaleba,"Refined Flour, Sugar Syrup",200,25,2,10,Vegetarian,dessert,1 piece,30,North Indian,['dessert']
Kadai paneer,"Paneer, Capsicum, Spices, Onion, Tomato",280,15,20,15,Vegetarian,lunch/dinner,1 bowl,45,North Indian,"['lunch', 'dinner']"
Kadhi pakoda,"Yogurt, Gram Flour, Spices",200,20,5,10,Vegetarian,lunch,1 bowl,30,North Indian,['lunch']
Karela bharta,"Bitter Gourd, Spices, Onion",120,10,3,5,Vegetarian,dinner,1 bowl,20,North Indian,['dinner']
Katha meetha petha / kaddu halwa,"Pumpkin, Sugar, Spices",200,25,2,10,Vegetarian,dessert,1 bowl,30,North Indian,['dessert']
Kheer,"Rice, Milk, Sugar, Nuts",250,30,5,10,Vegetarian,dessert,1 bowl,40,North Indian,['dessert']
Kadhi and Khichdi,"Yogurt, Gram Flour, Spices, Rice, Lentils",300,35,10,10,Vegetarian,lunch/dinner,1 plate,40,North Indian,"['lunch', 'dinner']"
Kofta,"Potato, Paneer, Spices",250,30,5,10,Vegetarian,lunch/dinner,2 koftas,40,North Indian,"['lunch', 'dinner']"
Kulfi falooda,"Milk, Sugar, Falooda, Nuts",300,35,5,15,Vegetarian,dessert,1 glass,50,North Indian,['dessert']
Laapsi,"Cracked Wheat, Jaggery, Ghee",300,40,5,10,Vegetarian,dessert,1 bowl,40,North Indian,['dessert']
Lauki ke kofte,"Bottle Gourd, Gram Flour, Spices",200,20,5,10,Vegetarian,lunch/dinner,2 koftas,30,North Indian,"['lunch', 'dinner']"
Lauki ki bhaaji,"Bottle Gourd, Spices",100,8,2,5,Vegetarian,lunch/dinner,1 bowl,15,North Indian,"['lunch', 'dinner']"
Litti chokha,"Wheat Flour, Sattu, Brinjal, Potato, Tomato, Spices",320,40,10,10,Vegetarian,snacks,1 plate,40,North Indian,['snacks']
Makhaan ka kheer,"Corn, Milk, Sugar",280,35,5,12,Vegetarian,dessert,1 bowl,50,North Indian,['dessert']
"Makki ki roti, sarson ka saag","Corn Flour, Mustard Leaves, Spices",400,40,15,20,Vegetarian,lunch/dinner,1 plate,60,North Indian,"['lunch', 'dinner']"
Mathura ke pede,"Milk, Sugar",200,25,5,8,Vegetarian,dessert,2 pieces,30,North Indian,['dessert']
"Methi saag, chaulai saag","Fenugreek Leaves, Spinach, Spices",100,8,2,5,Vegetarian,lunch/dinner,1 bowl,15,North Indian,"['lunch', 'dinner']"
Millet Lapsi,"Millet, Jaggery, Ghee",320,45,5,12,Vegetarian,dessert,1 bowl,45,North Indian,['dessert']
Mirchi Bada,"Chili, Potato, Spices",150,20,2,8,Vegetarian,snacks,1 piece,20,North Indian,['snacks']
Missi roti,"Gram Flour, Wheat Flour, Spices",150,20,5,3,Vegetarian,lunch/dinner,1 roti,20,North Indian,"['lunch', 'dinner']"
Mixed vegetable,"Mixed Vegetables, Spices, Onion, Tomato",150,10,3,8,Vegetarian,lunch/dinner,1 bowl,25,North Indian,"['lunch', 'dinner']"
Moong dal ki Lapsi,"Moong Dal, Jaggery, Ghee",320,45,5,12,Vegetarian,dessert,1 bowl,45,North Indian,['dessert']
Murgh musallam,"Chicken, Spices, Dry Fruits",600,20,40,40,Non-Vegetarian,dinner,1 whole chicken,250,North Indian,['dinner']
Mushroom do pyaza (Kanda Khumb),"Mushroom, Onion, Spices",200,10,8,12,Vegetarian,lunch/dinner,1 bowl,35,North Indian,"['lunch', 'dinner']"
Mushroom matar (Matar Khumb),"Mushroom, Peas, Spices",180,10,8,10,Vegetarian,lunch/dinner,1 bowl,30,North Indian,"['lunch', 'dinner']"
Naan,"Refined Flour, Yeast, Butter",200,30,5,5,Vegetarian,lunch/dinner,1 naan,25,North Indian,"['lunch', 'dinner']"
Navrattan korma,"Mixed Vegetables, Dry Fruits, Cream, Spices",300,20,8,20,Vegetarian,lunch/dinner,1 bowl,50,North Indian,"['lunch', 'dinner']"
Palak paneer,"Spinach, Paneer, Spices",250,10,15,15,Vegetarian,lunch/dinner,1 bowl,40,North Indian,"['lunch', 'dinner']"
Paneer butter masala,"Paneer, Tomato, Butter, Cream, Spices",300,15,15,20,Vegetarian,lunch/dinner,1 bowl,50,North Indian,"['lunch', 'dinner']"
Paneer tikka masala,"Paneer Tikka, Tomato Sauce, Cream, Spices",350,15,20,20,Vegetarian,lunch/dinner,1 bowl,60,North Indian,"['lunch', 'dinner']"
Pani puri,"Semolina, Potato, Spices, Tamarind Water",100,15,2,3,Vegetarian,snacks,6 puris,15,North Indian,['snacks']
Panjeeri,"Wheat Flour, Sugar, Ghee, Dry Fruits",300,35,5,15,Vegetarian,dessert,1 bowl,40,North Indian,['dessert']
Papad,"Lentil Flour, Spices",50,10,2,1,Vegetarian,snacks,1 papad,5,North Indian,['snacks']
Paratha,"Wheat Flour, Ghee",150,20,3,5,Vegetarian,lunch/dinner,1 paratha,20,North Indian,"['lunch', 'dinner']"
Pattor,"Colocasia Leaves, Gram Flour, Spices",150,15,3,8,Vegetarian,breakfast/snacks,2 pieces,25,North Indian,"['breakfast', 'snacks']"
Pinni,"Wheat Flour, Sugar, Ghee, Dry Fruits",350,40,5,20,Vegetarian,dessert,1 piece,50,North Indian,['dessert']
Rajma chaval,"Kidney Beans, Rice",300,40,10,8,Vegetarian,lunch,1 plate,40,North Indian,['lunch']
Rajma,"Kidney Beans, Spices",200,25,10,3,Vegetarian,lunch,1 bowl,30,North Indian,['lunch']
Ramatori bhaaji,"Ramatori, Spices",80,8,2,3,Vegetarian,dinner,1 bowl,15,North Indian,['dinner']
Lobiya,"Black Eyed Peas, Spices",180,20,8,5,Vegetarian,lunch/dinner,1 bowl,25,North Indian,"['lunch', 'dinner']"
Samose,"Refined Flour, Potato, Peas, Spices",150,20,3,8,Vegetarian,snacks,1 samosa,10,North Indian,['snacks']
Sattu ki roti,"Gram Flour, Wheat Flour, Spices",150,20,5,3,Vegetarian,lunch/dinner,1 roti,20,North Indian,"['lunch', 'dinner']"
Ananas menaskai,"Pineapple, Coconut, Spices",180,20,2,10,Vegetarian,lunch,1 bowl,30,South Indian,['lunch']
Aval kesari,"Flattened Rice, Sugar, Ghee, Nuts",250,30,5,10,Vegetarian,dessert,1 bowl,40,South Indian,['dessert']
Baida roti,"Egg, Refined Flour",200,20,8,8,Non-Vegetarian,snacks,1 piece,30,South Indian,['snacks']
Halwa,"Semolina, Sugar, Ghee, Nuts",250,30,5,10,Vegetarian,dessert,1 bowl,40,North Indian,['dessert']
Bhajji,"Vegetables, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,2 pieces,15,North Indian,['snacks']
Biryani (South Indian style),"Rice, Meat/Vegetables, Spices",450,40,20,20,Non-Vegetarian,dinner,1 plate,120,South Indian,['dinner']
Bonda,"Potato, Gram Flour, Spices",120,15,2,5,Vegetarian,snacks,1 piece,15,South Indian,['snacks']
Chettinadu Chicken,"Chicken, Spices",350,15,25,20,Non-Vegetarian,dinner,1 bowl,100,South Indian,['dinner']
Chicken 65,"Chicken, Spices",280,10,30,10,Non-Vegetarian,snacks,6 pieces,90,South Indian,['snacks']
Dibba rotti,"Rice Flour, Jaggery",150,20,2,8,Vegetarian,lunch,1 piece,20,South Indian,['lunch']
Double ka meetha,"Bread, Milk, Sugar",350,40,5,20,Vegetarian,dessert,1 piece,50,South Indian,['dessert']
Ennai kathirikkai,"Eggplant, Spices",160,12,3,10,Vegetarian,lunch,1 bowl,25,South Indian,['lunch']
Goli bajje,"Refined Flour, Yogurt, Spices",100,10,2,5,Vegetarian,snacks,4 pieces,15,South Indian,['snacks']
Golichina Mamsam,"Mutton, Spices",350,15,25,20,Non-Vegetarian,dinner,1 bowl,100,South Indian,['dinner']
Hyderabadi biryani,"Rice, Meat/Vegetables, Spices",450,40,20,20,Non-Vegetarian,dinner,1 plate,120,South Indian,['dinner']
Idiyappam,Rice Flour,100,20,2,1,Vegetarian,breakfast,2 idiyappam,15,South Indian,['breakfast']
Indian omelette,"Egg, Onion, Spices",120,5,8,8,Non-Vegetarian,breakfast,1 omelette,20,Other,['breakfast']
Keerai koottu,"Spinach, Lentils, Coconut, Spices",150,15,5,5,Vegetarian,dinner,1 bowl,25,South Indian,['dinner']
Keerai poriyal,"Spinach, Coconut, Spices",100,8,2,5,Vegetarian,dinner,1 bowl,15,South Indian,['dinner']
Kerala Beef Fry,"Beef, Spices",350,15,25,20,Non-Vegetarian,dinner,1 bowl,120,South Indian,['dinner']
Kodubale,"Rice Flour, Spices",80,10,1,3,Vegetarian,snacks,4 pieces,15,South Indian,['snacks']
Kolhapuri akkha masoor Dal,"Masoor Dal, Spices",200,25,10,5,Vegetarian,lunch/dinner,1 bowl,30,North Indian,"['lunch', 'dinner']"
Koottu,"Mixed Vegetables, Lentils, Coconut, Spices",150,15,5,5,Vegetarian,lunch/dinner,1 bowl,25,South Indian,"['lunch', 'dinner']"
Kori rotti,"Chicken, Rice Roti",400,40,20,20,Non-Vegetarian,lunch/dinner,1 plate,150,South Indian,"['lunch', 'dinner']"
Koshambri,"Cucumber, Lentils, Coconut, Spices",80,10,3,3,Vegetarian,salad,1 bowl,15,South Indian,['snacks']
Nandu omelette,"Crab, Egg, Spices",200,5,15,12,Non-Vegetarian,breakfast,1 omelette,80,South Indian,['breakfast']
"Obbattu (holige, bobbattu, pooran-poli)","Lentils, Jaggery, Wheat Flour",300,35,5,15,Vegetarian,dessert,1 piece,40,South Indian,['dessert']
Olan,"Pumpkin, Coconut Milk, Spices",100,10,2,5,Vegetarian,lunch,1 bowl,15,South Indian,['lunch']
Pachadi,"Vegetables, Yogurt, Spices",80,10,3,3,Vegetarian,snacks,1 bowl,15,South Indian,['snacks']
Paniyaram,"Lentils, Rice Flour, Spices",100,15,2,3,Vegetarian,breakfast,4 pieces,20,South Indian,['breakfast']
Paddu,"Lentils, Rice Flour, Spices",100,15,2,3,Vegetarian,breakfast,4 pieces,20,South Indian,['breakfast']
Gujiya,"Refined flour, Dry fruits, Sugar",250,30,5,10,Vegetarian,dessert,2 pieces,30,North Indian,['dessert']
Ragi mudde,Finger Millet Flour,100,20,3,1,Vegetarian,lunch/dinner,1 mudde,15,South Indian,"['lunch', 'dinner']"
Rajwadi Chhena/Paneer,Milk Solids,200,10,15,10,Vegetarian,lunch/dinner,100 grams,80,North Indian,"['lunch', 'dinner']"
Shahi tukra,"Bread, Milk, Sugar, Dry Fruits",350,40,5,20,Vegetarian,dessert,1 piece,50,North Indian,['dessert']
Singhada Lapsi,"Water Chestnut Flour, Jaggery, Ghee",320,45,5,12,Vegetarian,dessert,1 bowl,45,North Indian,['dessert']
Sooji halwa (Suji Lapsi),"Semolina, Sugar, Ghee, Nuts",250,30,5,10,Vegetarian,dessert,1 bowl,40,North Indian,['dessert']
Sweet pethas / kesar petha / pista petha,"Pumpkin, Sugar, Saffron, Pistachio",200,25,2,10,Vegetarian,dessert,1 piece,30,North Indian,['dessert']
Tamatar Chaat,"Tomato, Spices",120,15,2,5,Vegetarian,snacks,1 plate,20,North Indian,['snacks']
Thali,"Rice, Lentils, Vegetables, Spices",400,40,15,15,Vegetarian,lunch/dinner,1 plate,80,Other,"['lunch', 'dinner']"
Vangi Bath,"Rice, Eggplant, Spices",300,35,8,12,Vegetarian,lunch/dinner,1 plate,45,South Indian,"['lunch', 'dinner']"
Vindaloo,"Meat, Vinegar, Spices",400,20,25,25,Non-Vegetarian,lunch/dinner,1 bowl,100,North Indian,"['lunch', 'dinner']"
Murukku,"Rice Flour, Urad Dal Flour, Spices",80,10,2,3,Vegetarian,snacks,4 pieces,15,South Indian,['snacks']
Chana Jor Garam,"Black Chickpeas, Spices",100,15,5,2,Vegetarian,snacks,1 cup,15,North Indian,['snacks']
Vada Pav,"Potato, Gram Flour, Spices, Pav",350,40,8,18,Vegetarian,snacks,1 vada pav,30,North Indian,['snacks']
Mirchi Bajji,"Chili, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,2 pieces,15,South Indian,['snacks']
Sundal,"Chickpeas, Coconut, Spices",100,15,5,2,Vegetarian,snacks,1 bowl,15,South Indian,['snacks']
Mysore Bonda,"Urad Dal, Rice Flour, Spices",120,15,3,3,Vegetarian,snacks,2 bondas,20,South Indian,['snacks']
Ghugni Chaat,"White Peas, Onion, Spices",150,20,6,3,Vegetarian,snacks,1 plate,20,North Indian,['snacks']
Banana Chips,"Banana, Oil, Salt",150,15,1,10,Vegetarian,snacks,1 cup,20,South Indian,['snacks']
Golgappa,"Semolina, Potato, Spices, Tamarind Water",100,15,2,3,Vegetarian,snacks,6 puris,15,North Indian,['snacks']
Pani Puri,"Semolina, Potato, Spices, Tamarind Water",100,15,2,3,Vegetarian,snacks,6 puris,15,North Indian,['snacks']
Papdi Chaat,"Refined Flour, Potato, Chickpeas, Yogurt, Spices",250,30,5,10,Vegetarian,snacks,1 plate,30,North Indian,['snacks']
Dahi Vada,"Lentil Fritters, Yogurt, Spices",200,25,8,8,Vegetarian,snacks,2 vadas,25,North Indian,['snacks']
Onion Pakoda,"Onion, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,4 pieces,15,North Indian,['snacks']
Bhaji,"Vegetables, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,2 pieces,15,North Indian,['snacks']
Dal Vada,"Lentils, Spices",100,15,3,3,Vegetarian,snacks,2 vadas,15,South Indian,['snacks']
Masala Vada,"Lentils, Spices",100,15,3,3,Vegetarian,snacks,2 vadas,15,South Indian,['snacks']
Aloo Pakora,"Potato, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,2 pieces,15,North Indian,['snacks']
Aloo Bajji,"Potato, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,2 pieces,15,South Indian,['snacks']
Kanda Bhaji,"Onion, Gram Flour, Spices",100,10,2,5,Vegetarian,snacks,4 pieces,15,North Indian,['snacks']
Paneer Pakora,"Paneer, Gram Flour, Spices",150,10,8,8,Vegetarian,snacks,2 pieces,20,North Indian,['snacks']
Moong Dal Pakoda,"Moong Dal, Spices",100,15,5,3,Vegetarian,snacks,4 pieces,15,North Indian,['snacks']
Kothimbir Vadi,"Coriander, Gram Flour, Spices",100,10,3,5,Vegetarian,snacks,4 pieces,15,North Indian,['snacks']
Bread Roll,"Bread, Potato, Spices",150,20,4,5,Vegetarian,snacks,1 roll,20,North Indian,['snacks']
Maddur Vada,"Rice Flour, Semolina, Onion, Spices",120,15,3,3,Vegetarian,snacks,2 vadas,20,South Indian,['snacks']
Balu Shahi,"Refined flour (maida), ghee, yogurt, sugar, baking soda, cardamom",152,24,0,5.9,Vegetarian,Snacks,1 piece (40g),20,North Indian,['snacks']
Boondi,"Gram flour (besan), oil, sugar (for sweet version)",150,18,2.5,8,Vegetarian,Snacks,30g,15,North Indian,['snacks']
Gajar ka Halwa,"Carrot, milk, sugar, ghee, cardamom, dry fruits",250,32,4,12,Vegetarian,Dessert,100g,40,North Indian,['dessert']
Ghevar,"Refined flour (maida), ghee, sugar syrup, cardamom, saffron",300,45,3,12,Vegetarian,Dessert,1 piece (120g),50,North Indian,['dessert']
Gulab Jamun,"Khoya, all-purpose flour, sugar, cardamom, rose water, ghee",175,30,3,5,Vegetarian,Dessert,2 pieces (80g),30,North Indian,['dessert']
Kaju Katli,"Cashew nuts, sugar, ghee, cardamom",200,20,4,11,Vegetarian,Dessert,2 pieces (40g),40,North Indian,['dessert']
Kalakand,"Milk, sugar, cardamom, ghee",180,25,5,7,Vegetarian,Dessert,50g,25,North Indian,['dessert']
Laddu,"Gram flour, ghee, sugar, cardamom, dry fruits",160,22,3,7,Vegetarian,Dessert/Snacks,1 piece (40g),15,North Indian,"['snacks', 'dessert']"
Lassi,"Curd, sugar, cardamom, water, dry fruits",180,25,4,6,Vegetarian,Beverage/Snacks,250 ml,25,North Indian,['snacks']
Nankhatai,"All-purpose flour, sugar, ghee, cardamom, baking soda",120,14,1,6,Vegetarian,Snacks,1 piece (25g),10,North Indian,['snacks']
Petha,"Ash gourd, sugar, lime water, rose water",110,27,0,0,Vegetarian,Dessert,2 pieces (60g),15,North Indian,['dessert']
Rabri,"Milk, sugar, cardamom, saffron, dry fruits",270,25,6,16,Vegetarian,Dessert,80g,30,North Indian,['dessert']
Sheera,"Semolina, ghee, nuts, milk",250,30,5,12,Vegetarian,Breakfast,1 cup,30,Other,['breakfast']
Singori,"Khoa, coconut, molu leaf",180,20,4,8,Vegetarian,Dessert,1 piece,40,North Indian,['dessert']
Sohan halwa,"Corn flour, ghee, dry fruits",320,40,6,16,Vegetarian,Dessert,1 piece,50,Other,['dessert']
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",280,35,4,14,Vegetarian,Dessert,1 piece,45,Other,['dessert']
Chhena jalebi,"Chhena, sugar, ghee",220,25,5,12,Vegetarian,Dessert,1 piece,60,Other,['dessert']
Chhena kheeri,"Chhena, sugar, milk",200,22,6,10,Vegetarian,Dessert,1 cup,55,Other,['dessert']
Chhena poda,"Sugar, chenna cheese",250,30,7,12,Vegetarian,Dessert,1 slice,70,Other,['dessert']
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",280,32,6,14,Vegetarian,Dessert,1 piece,65,Other,['dessert']
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",240,28,7,12,Vegetarian,Dessert,1 cup,75,Other,['dessert']
Ledikeni,"Chhena, sugar, ghee",230,26,5,13,Vegetarian,Dessert,1 piece,70,Other,['dessert']
Lyangcha,"Flour, fried milk power, sugar syrup",260,30,4,14,Vegetarian,Dessert,1 piece,80,Other,['dessert']
Malapua,"Yogurt, refined flour, ghee, fennel seeds",290,35,5,15,Vegetarian,Dessert,1 piece,50,North Indian,['dessert']
Mihidana,"Besan flour, sugar, ghee",270,32,4,14,Vegetarian,Dessert,1 cup,60,Other,['dessert']
Misti Doi,"Milk, jaggery",190,22,6,8,Vegetarian,Dessert,1 cup,40,Other,['dessert']
Pantua,"Chhena, sugar, ghee, flour",240,28,5,13,Vegetarian,Dessert,1 piece,65,Other,['dessert']
Pithe,"Rice flour, wheat flour, coconut, jaggery",220,25,4,12,Vegetarian,Snack,2 pieces,50,Other,['snacks']
